date,pages
2017-10-18,12
2017-11-01,8
2017-11-15,7
2017-11-29,4
2017-12-13,4
2018-01-10,8
2018-01-24,7
2018-02-07,11
2018-02-21,6
2018-03-07,6
2018-03-28,4
2018-04-11,10
2018-04-25,11
